Comment,Designator,Footprint,LCSC Part #
1.3M,R1,R0402,
1M,R5,R0402,
1k,R11,R0402,
1uF,C5 C6,C0402,
5k1,R8 R9,R0402,
10k,R2 R4 R6 R7,R0402,
10uF/10V,C3 C4,C0402,C106859
22uF,C2,C0402,
100k,R14,R0402,
100nF,C1 C7,C0402,
330,R3 R10,R0402,
AO3401,Q1,SOT-1215,C547277
BAT60B,D2 D3,SOD323-R,
GREEN,LED,CHIPLED_0402,
JST-SH_4p,J1,1X04_1MM_RA,C160404
RED,CHARGING,CHIPLED_0402,
RT9080,LDO,SOT94P280X100-5N,
TP4054,CHARGER,SOT-23-5,
ESP32-C3-MINI-1-N4,IC1,ESP32C3MINI1N4,
TS-1088R-02026,FLASH RESET,TS1088R02026,
USB-C_GT-USB-7010B,J2,G-SWITCH_GT-USB-7010B,C2837092
