Designator,Mid X,Mid Y,Layer,Rotation
ADC_BAT,15.11,-2.16,Top,270.0
C1,10.16,-5.08,Top,90.0
C2,11.43,-5.08,Top,90.0
C3, 7.62,-5.08,Top,270.0
C4, 8.89,-5.08,Top,90.0
C5,18.16,-5.08,Top,270.0
C6,11.94, 0.38,Top,90.0
C7,13.18, 0.38,Top,90.0
CHARGER, 8.89, 1.27,Top,0.0
CHARGING,12.32, 5.08,Top,90.0
D1, 8.89, 5.71,Top,180.0
D2, 8.89, 3.94,Top,180.0
I2C_PULL_UP,19.05, 5.08,Top,90.0
J1, 3.56, 0.00,Top,90.0
LDO, 8.51,-1.91,Top,0.0
R1,14.73, 0.38,Top,270.0
R2,17.02,-5.08,Top,270.0
R3,12.70,-5.08,Top,90.0
R4,14.61, 5.08,Top,270.0
R5,15.77, 0.38,Top,90.0
R8, 1.27,-6.29,Top,0.0
R9, 2.67, 6.29,Top,0.0
R10,11.00, 5.08,Top,270.0
R11,13.46, 5.08,Top,270.0
R12,15.75, 5.08,Top,90.0
R13,16.89, 5.08,Top,90.0
FLASH, 3.18, 6.29,Bottom,0.0
IC1,14.29, 0.00,Bottom,90.0
J3, 6.73, 0.00,Bottom,90.0
RESET, 3.18,-6.29,Bottom,0.0
